TT-3061-3,TT-3061-5,LT-3061-2,mean,TT-3061-3,TT-3061-5,LT-3061-2,mean
R2,R2,R2,R2,nRMSE,nRMSE,nRMSE,nRMSE
0.8949872245043118,0.9269526950591923,0.9353738538560346,0.9191045911398462,5.258819688202077,4.757028760901,3.914065459726234,4.6433046362764365
0.7953531575522897,0.8569695708876824,0.8833674136397831,0.8452300473599185,7.296004317168564,6.657222833248381,5.258829965882698,6.404019038766548
0.6654487654478609,0.8043155324357314,0.837193400509702,0.7689858994644315,9.202572697431785,7.787431363124616,6.214078474163794,7.7346941782400656
0.5329855969599124,0.7664252436885308,0.8006804348804013,0.7000304251762816,10.72864780474887,8.509242919030143,6.876533689644567,8.704808137807861
0.41348722901493484,0.7388412530259141,0.7745171723345696,0.6422818847918061,11.904427483598951,8.998855548648836,7.314434289891206,9.40590577404633
0.31100168335638334,0.7157514506743345,0.7551806806932563,0.5939779382413247,12.776681292550688,9.389199510460358,7.622439226333795,9.929440009781613
0.22125102427446275,0.6933613260918445,0.7402501701718798,0.5516208401793957,13.452573495791073,9.75187790467561,7.852813554906753,10.352421651791145
0.14360945671177328,0.6745839652421776,0.7286713125060247,0.5156215781533252,14.073094187699658,10.045270581144177,8.028250879075427,10.715538549306421
0.08102450182241261,0.6550215746281209,0.7186654763165294,0.4849038509223543,14.595305255116836,10.341624223200728,8.177536573295905,11.038155350537822
0.03158444790033854,0.6271082395546657,0.7074286057157168,0.4553737643902403,15.000003264382308,10.750071040352386,8.342153357008591,11.364075887247763
0.4090733087544681,0.7459330851288194,0.7881328520623898,0.6477130819818925,11.428812948669082,8.698782468478623,6.960113546992898,9.0292363213802
