TT-3061-3,TT-3061-5,LT-3061-2,mean,TT-3061-3,TT-3061-5,LT-3061-2,mean
R2,R2,R2,R2,nRMSE,nRMSE,nRMSE,nRMSE
0.9195299097271593,0.9161495064253519,0.9658396090941699,0.933839675082227,4.603460869783925,5.096669711509865,2.845675477183669,4.181935352825819
0.8395432250521693,0.879389787229576,0.9530472204370333,0.8906600775729262,6.4604324176000665,6.113232525109884,3.3366436689282777,5.30343620387941
0.7502663275496253,0.8416153549279595,0.9186800718989747,0.8368539181255198,7.950903644583161,7.006039673364933,4.39176631895645,6.449569878968181
0.6650809694881097,0.8121240000860167,0.8838315300736608,0.7870121665492623,9.085519483389676,7.631565257412889,5.249751474191002,7.322278738331189
0.5797916838399855,0.7890756987759502,0.8573642747074701,0.7420772191078019,10.076323425430257,8.087202203822299,5.8175237358536735,7.993683121702076
0.49710493429009894,0.7700262688969876,0.8379473699371918,0.7016928577080929,10.915601403301762,8.445367538837182,6.201534574791707,8.52083450564355
0.4207124097682482,0.7528779373325305,0.8216535709385105,0.6650813060130965,11.60255782830392,8.754483958710258,6.5069858085336145,8.954675865182598
0.35459073086886383,0.7372199857255388,0.810481437403565,0.6340973846659893,12.217188142208006,9.02689375675753,6.7096359265828465,9.31790594184946
0.29981399715093104,0.7215131373767267,0.8048373450094886,0.6087214931790488,12.739956018277269,9.291699191192683,6.810975831855449,9.614210347108468
0.25437169055458464,0.7033174796739701,0.797684234393883,0.5851244682074793,13.161993446625086,9.58883665490438,6.937086376209442,9.895972159246304
0.5580805878289776,0.7923309156450609,0.8651366663893947,0.7385160566211444,9.881393667950315,7.90419904716219,5.480757919308614,7.755450211473705
