TT-3061-3,TT-3061-5,LT-3061-2,mean,TT-3061-3,TT-3061-5,LT-3061-2,mean
R2,R2,R2,R2,nRMSE,nRMSE,nRMSE,nRMSE
0.9061447618364157,0.9143979534528459,0.9572310839868222,0.9259245997586946,4.972242212136603,5.139345353718447,3.193639511012701,4.43507569228925
0.8222761550998487,0.8468815801099251,0.9217252598756582,0.8636276650284773,6.796780055004467,6.874356670165861,4.319745502181567,5.996960742450632
0.7124389053849196,0.7950509775562853,0.8817927261926023,0.7964275363779357,8.525708740119203,7.95393450410032,5.30806102052618,7.262568088248568
0.6032285297563249,0.7600689892839411,0.8442625147358329,0.7358533445920331,9.879717040077187,8.607141018001371,6.092764479783611,8.193207512620724
0.5020128936660375,0.7417021234005495,0.8193699793234172,0.6876949987966681,10.95849961834834,8.931685143541877,6.56146287443414,8.817215878774787
0.4094948244512182,0.7313618667280416,0.8076379401050375,0.6494982104280992,11.817648673212963,9.110093133810707,6.7712493972477015,9.232997068090457
0.3257938131805622,0.722108343085179,0.8007659256452441,0.6162226939703285,12.508073987612335,9.266331854454501,6.8914640609334095,9.555289967666747
0.25576507883780053,0.7102935501308052,0.7930061435844515,0.5863549241843524,13.112730197383396,9.461511070101967,7.025009182244227,9.86641681657653
0.1995602304114521,0.6951567002937243,0.7809878195432772,0.5585682500828179,13.617952490965694,9.705814687035272,7.226559403059049,10.183442193686671
0.1523612544928431,0.6765106798065115,0.7622623580895443,0.5303780974629663,14.033850040595256,9.998302257994714,7.530013042195121,10.520721780261697
0.48890764471174225,0.759353276384781,0.8369041751081886,0.6950550320682373,10.622320305545546,8.504851569292503,6.091996847361771,8.406389574066607
